gamma,NRC3
0.061785143,0.012145504
0.061941165,0.012167669
0.062097188,0.012189811
0.062253214,0.012211924
0.062409237,0.012234013
0.06256526,0.012256072
0.062721282,0.012278107
0.062877305,0.012300114
0.063033327,0.012322097
0.063189358,0.012344054
0.06334538,0.012365985
0.063501403,0.012387889
0.063657425,0.012409766
0.063813448,0.012431622
0.063969471,0.01245345
0.064125493,0.01247525
0.064281516,0.012497026
0.064437538,0.012518778
0.064593568,0.012540506
0.064749591,0.012562208
0.064905614,0.012583885
0.065061636,0.012605536
0.065217659,0.012627162
0.065373681,0.012648764
0.065529704,0.012670342
0.065685727,0.012691894
0.065841757,0.012713424
0.065997779,0.01273493
0.066153802,0.012756409
0.066309825,0.012777864
0.066465847,0.012799295
0.06662187,0.012820703
0.066777892,0.012842085
0.066933915,0.012863446
0.067089938,0.012884782
0.067245968,0.012906094
0.06740199,0.012927384
0.067558013,0.01294865
0.067714036,0.012969891
0.067870058,0.012991108
0.068026081,0.013012303
0.068182103,0.013033475
0.068338126,0.013054624
0.068494156,0.01307575
0.068650179,0.013096852
0.068806201,0.013117933
0.068962224,0.013138989
0.069118246,0.013160022
0.069274269,0.013181034
0.069430292,0.013202022
0.069586314,0.013222989
0.069742337,0.013243932
0.069898367,0.013264854
0.07005439,0.013285755
0.070210412,0.013306632
0.070366435,0.013327486
0.070522457,0.013348319
0.07067848,0.013369129
0.070834503,0.013389918
0.070990525,0.013410685
0.071146548,0.013431431
0.071302578,0.013452154
0.0714586,0.013472857
0.071614623,0.013493536
0.071770646,0.013514196
0.071926668,0.013534832
0.072082691,0.013555449
0.072238714,0.013576043
0.072394736,0.013596616
0.072550766,0.013617169
0.072706789,0.0136377
0.072862811,0.013658211
0.073018834,0.013678699
0.073174857,0.013699168
0.073330879,0.013719615
0.073486902,0.013740039
0.073642924,0.013760446
0.073798947,0.013780831
0.073954977,0.013801197
0.074111,0.013821542
0.074267022,0.013841865
0.074423045,0.013862168
0.074579068,0.01388245
0.07473509,0.013902714
0.074891113,0.013922958
0.075047135,0.01394318
0.075203165,0.013963382
0.075359188,0.013983564
0.075515211,0.014003727
0.075671233,0.01402387
0.075827256,0.014043993
0.075983278,0.014064096
0.076139301,0.014084177
0.076295324,0.014104242
0.076451346,0.014124286
0.076607376,0.014144311
0.076763399,0.014164317
0.076919422,0.014184304
0.077075444,0.014204268
0.077231467,0.014224216
0.077387489,0.014244144
0.077543512,0.014264052
0.077699535,0.014283943
0.077855565,0.014303813
0.078011587,0.014323665
0.07816761,0.014343497
0.078323632,0.014363311
0.078479655,0.014383107
0.078635678,0.014402882
0.0787917,0.01442264
0.078947723,0.014442379
0.079103746,0.014462098
0.079259768,0.014481801
0.079415791,0.014501483
0.079571821,0.014521147
0.079727843,0.014540792
0.079883866,0.014560421
0.080039889,0.014580031
0.080195911,0.014599623
0.080351934,0.014619196
0.080507956,0.01463875
0.080663979,0.014658287
0.080820009,0.014677808
0.080976032,0.01469731
0.081132054,0.014716791
0.081288077,0.014736257
0.0814441,0.014755704
0.081600122,0.014775133
